"brood_year","Impact3Lower","Impact3Mid","Impact3Upper","Impact4Lower","Impact4Mid","Impact4Upper","Impactrate3Lower","Impactrate3Mid","Impactrate3Upper","Impactrate4Lower","Impactrate4Mid","Impactrate4Upper"
2002,1847.71256004627,4061.45292715306,6506.89667845436,411.572805315036,775.876872824464,1259.33334150163,0.23100929990515,0.259792028213204,0.290422472262064,0.210656021139174,0.254818750341121,0.31161144767426
2003,3193.91107162805,3862.30421561683,4650.02719375185,158.086423824241,319.527421175007,579.875909581613,0.152973415261058,0.177276678246649,0.204675854604328,0.112345564814605,0.195443033289337,0.304900884079451
2004,316.232516362594,650.131704762608,1162.54234968283,73.1008074515078,205.968306275813,419.555829121031,0.0980703635303184,0.179811829790043,0.284121139935449,0.0759548585492696,0.178952251105297,0.317489566654303
2005,229.568585316863,638.387338853464,1317.75594682391,0,0,0,0.0738726923585708,0.175443822940487,0.31129497367038,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,17.5911350485665,81.8397735862315,254.325728809844,0,0,0,0.0673971547411615,0.208758707911502,0.484502972761973
2008,51.295706680174,237.134878897694,758.666496941383,102.243113614391,290.671462903378,650.442159552395,0.0460561582000732,0.150422148111389,0.368851818790311,0.445165920757994,0.561346279256284,0.732472208538101
2009,976.345400645437,1340.84627844158,1910.43180763947,48.3862312394551,118.501537885291,233.026423902081,0.270099704604948,0.32686757997087,0.399469618300269,0.122131861331838,0.20059335550869,0.301230867270063
2010,659.268353813801,1169.0912839487,1820.26768434688,155.820662243687,250.225330316229,385.643088881301,0.0802389310387075,0.130258990523924,0.191035294853443,0.225968130939168,0.289485298092117,0.369898483661334
2011,394.855756664017,543.959552103511,732.997716679607,0.408258892662585,29.3392030871139,79.7644262022567,0.148105341752036,0.189687702668663,0.237253360463062,0.205518640502547,0.289691087013075,0.393873953149794
2012,525.544839308619,752.765827557654,1066.0636473093,1.60691738059491,6.74910080466104,20.2579230195187,0.124719035377911,0.168930217197656,0.222763464661491,0.00861958611986552,0.0258352801953201,0.0595431149361009
2013,6.23424200327849,19.7123660153953,52.0231709146945,19.0216818950406,39.0071634007131,72.5216429608732,0.00562222486229782,0.0167517701542407,0.0445527764633032,0.127450346691619,0.21892439494541,0.343203064831849
2014,3.52291786080772,10.2770722876601,20.6082776628189,0.00357349998769525,8.37320634994158,26.203301554024,0.072028945447228,0.114472900411491,0.167747102968945,0.2791625741159,0.386972097707097,0.521024556379522
2015,50.1440347512098,72.6921778029302,102.909751839322,0,0,0,0.147374233171913,0.19115831512205,0.247625745260068,NA,NA,NA
