run_year,Hatchery Escapement
2018,180
2017,180
2016,137
2015,257
2014,388
2013,164
2012,93
2011,86
2010,63
2009,121
2008,105
2007,54
2006,93
2005,109
2004,85
2003,85
2002,104
2001,104
2000,89
1999,24
1998,99
