age,month,mean,sd
3,3,20.7697,1.7029
3,4,21.8524,1.7917
3,5,22.9351,1.8804
3,6,24.0178,1.9692
3,7,25.1004,2.058
3,8,26.2009,2.1482
3,9,27.2836,2.237
3,10,28.3663,2.3257
3,11,29.449,2.4145
3,12,29.7247,2.4371
4,1,29.2111,2.395
4,2,28.7224,2.3549
4,3,28.982,2.5155
4,4,29.949,2.5994
4,5,30.9161,2.6834
4,6,31.8831,2.7673
4,7,32.8502,2.8512
4,8,33.8331,2.9366
4,9,34.8001,3.0205
4,10,35.7672,3.1044
4,11,36.7343,3.1884
